platform,keyword,komentar,timestamp,sentimen
twitter,tempo babi,"Até pouco tempo, nem sabia que vc era ex-BBB... rs",2025-04-29T01:35:12.000Z,
twitter,tempo babi,e vamos de trancar o curso pq tá cheio de matéria e eu sem tempo ,2025-04-29T01:09:20.000Z,
twitter,tempo babi,"ela e a gaga chegando ao msm tempo, Deus está em todas as coisas",2025-04-29T00:54:10.000Z,
twitter,tempo babi,eu jogo tanto lis que eu começo a achar que a minha melhor amiga tem poderes de voltar atrás no tempo,2025-04-29T00:26:53.000Z,
twitter,tempo babi,aceitando aos poucos qui talvez eu fique mt mais tempo nesse ap do que o planejado e começando a botar um monte de cacareco pendurado nas paredes,2025-04-28T19:24:31.000Z,
twitter,tempo babi,"honestamente eu acho que a aew tinha que dar um tempo e concentrar nos talentos que já tem, principalmente os antigos que estão na fila por um título há tempos. a *** que se exploda lotada de gente, tem muitos que vão acabar na geladeira",2025-04-28T18:05:28.000Z,
twitter,tempo babi,Tadinha rsrs... é pq tatoo na mão costuma apagar com o tempo. Mas eu conheco uma menina que está se especializando e ela faria até de graça rsrs,2025-04-28T17:51:36.000Z,
twitter,tempo babi,mds como pode eu precisar de 500 coisas ao mesmo tempo e não poder comprar nenhuma ,2025-04-28T16:53:09.000Z,
twitter,tempo babi,"entãoo, ela podia ir mais pro lado de um rock alternativo né? pq de qualquer forma, não vejo ela fazendo rock tradicional. vai ter elemento eletrônico pelo menos. e SIM queria muito um album visual. hmhas podia ter sido visual. sinceramente acho que faltou tempo",2025-04-28T16:35:05.000Z,
twitter,tempo babi,"28 April 2025.
Berbagai kasus sngt rumit pun bisa ditelusuri oleh jurnalis investigasi TEMPO. Tapi kasus kepala babi dan bangkai tikus rasanya lebih susah dari judi online di negara tetangga kamboja.
Mungkin perusahaan ojek online enggan memberikan data? Atau mgkn tempo sdh tahu?",2025-04-28T15:23:51.000Z,
twitter,tempo babi,"Acontece que o 
@cartolafc
 depois que começou com apostas ficou cheio dos esquemas, larga alguns nomes de atletas para agora fatando 1 minuto para fechar o que geralmente não dá tempo. Contabilizam cousas que não aconteceram e deixam passar outras. Esse é o último ano que assino",2025-04-28T14:22:56.000Z,
twitter,tempo babi,misericórdia é muita coisa acontecendo ao mesmo tempo não tô dando conta,2025-04-28T11:05:01.000Z,
twitter,tempo babi,realidade: tão apontando a hipocrisia dela de reclamar de feat e sample(coisa q todo artista faz incluindo os favs dela) e falando q a lisa admirava os artistas dos feat q ela tá fazendo a muito tempo. Além dela MENTIR falando q a lisa não se envolveu na produção/composição,2025-04-28T07:58:36.000Z,
twitter,tempo babi,ta esgotado faz tempo amiga,2025-04-28T07:20:04.000Z,
twitter,tempo babi,".
.
.
.
.
.
.
.
.
.
.
.
.
.
A abby encontra 2 crianças serafitas q foram expulsas da seita pq o irmão mais novo é trans. Aí eles se apegam mt uns nos outros, mas ao mesmo tempo a ellie tá maluca atrás dela por vingança, e vc fica com o coração apertado pq n quer mais q ela morra",2025-04-28T04:16:29.000Z,
twitter,tempo babi,"masak nulis seperti ini...
dianggap ...
pemerintah dianggap...
jadi sansak...
bukannya kebalik...
TEMPO ...
dikasih kepala babi...
gimana itu ceritanya...",2025-04-28T02:32:14.000Z,
twitter,tempo babi,Pior os jogadores do Flamengo que eles colocam os nomes faltando 1 minutos para fechar.  Daí não dá tempo de trocar. E quem foi o maior pontuados hoje?Pedro,2025-04-28T02:32:01.000Z,
twitter,tempo babi,"Menina tb fazem link direto pro discord... eu e meu noivo..
Fomos mexer no celular do nosso filho de 12 anos..  no jogo free fire mandaram p/ ele o link do  Twitter para ele baixar e depois entrar no Discord. graças a Deus que vimos a tempo..  fora os links de Porno pelo app",2025-04-28T02:09:01.000Z,
twitter,tempo babi,eu passo mal que ele eh assim ao mesmo tempo que dançando da até pirueta,2025-04-28T02:05:36.000Z,
twitter,tempo babi,"nossa quero descascar esse mlk na porrada e ao mesmo tempo kiss his upper cut 
mds eu sou mt a olivia rodrigo msm",2025-04-28T01:24:11.000Z,
twitter,tempo babi,mds oi quanto tempo eu não entro aqui ;-;,2025-04-28T01:20:44.000Z,
twitter,tempo babi,Queria voltar no tempo e passar a tarde na casa da Flávia fazendo duetos da Disney e comendo macarrão com salsicha (e repetindo o prato pq a mãe dela me obriga),2025-04-28T01:08:14.000Z,
twitter,tempo babi,"Personagem da temporada passada me desbloqueou e voltou a me seguir, e opa, esta solteira? Oioi babi quanto tempo rsrs",2025-04-27T23:58:32.000Z,
twitter,tempo babi,"nossa, chatíssimo isso de ficar falando nome e sobrenome o tempo todo… 2025, sabe",2025-04-27T22:31:46.000Z,
twitter,tempo babi,"Ele vai, já talhei o nome dele numa árvore dentro da toca do Cruzeiro. Questão de tempo",2025-04-27T20:39:08.000Z,
twitter,tempo babi,"Mike White, escale ele na próxima temporada de White Lotus ou serei forçada a começar Gossip Girl. Agora que terminei Você sinto que não o verei por um longo tempo e eu não quero isso",2025-04-27T20:29:43.000Z,
twitter,tempo babi,Achei que o Flamengo tava sozinho no campo desde o primeiro tempo,2025-04-27T20:29:26.000Z,
twitter,tempo babi,nem entra pro campo de novo pra poupar tempo de todo mundo faz favor,2025-04-27T19:59:17.000Z,
twitter,tempo babi,"Pois começa orar pro segundo tempo, nada q não esteja ruim q n possa piorar",2025-04-27T19:49:45.000Z,
